race_slug,label,distance_km,elevation_gain_m,itra_points,price,currency,gpx_url
wildstrubel-by-utmb,72K,72,4600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779364686/wildstrubel/Races/Wild%20100K/GPX/WILD_70_K_officiel_06edfafe0d.gpx
wildstrubel-by-utmb,55K,55,3300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1757916497/wildstrubel/Races/Wild%2050/GPX/WILD_50_K_officiel_e95a984618.gpx
wildstrubel-by-utmb,42K,42,2700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772542294/wildstrubel/Races/Wild%20Glacier%20Marathon/Wild_Glacier_Marathon_Lenk_variante_Iffigensee_gpx_d46ec76263.gpx
wildstrubel-by-utmb,26K,26,1200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1750081026/wildstrubel/Races/Wild%2023/GPX/2024_wild25k_officiel_c5f1f64b35.gpx
wildstrubel-by-utmb,10K,10,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1762174216/wildstrubel/Races/Wild%2010/WILD_10_K_officiel_10d59d8a3a.gpx
jd-ultra-trail-great-wall-by-utmb,100K,100.0,3800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789022848/dajingmen/2026%E8%BD%A8%E8%BF%B9%E6%96%87%E4%BB%B6/20260910%E7%BB%88%E7%89%88%E8%BD%A8%E8%BF%B9/2026_by_UTMB_DGW_100_K_82646491f8.gpx
jd-ultra-trail-great-wall-by-utmb,68K,68.0,2600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789022845/dajingmen/2026%E8%BD%A8%E8%BF%B9%E6%96%87%E4%BB%B6/20260910%E7%BB%88%E7%89%88%E8%BD%A8%E8%BF%B9/2026_by_UTMB_CGW_70_K_f5838fe08b.gpx
jd-ultra-trail-great-wall-by-utmb,52K,52.0,2100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789022845/dajingmen/2026%E8%BD%A8%E8%BF%B9%E6%96%87%E4%BB%B6/20260910%E7%BB%88%E7%89%88%E8%BD%A8%E8%BF%B9/2026_by_UTMB_MGW_50_K_1e5e4852e2.gpx
jd-ultra-trail-great-wall-by-utmb,31K,31.0,1460,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789022844/dajingmen/2026%E8%BD%A8%E8%BF%B9%E6%96%87%E4%BB%B6/20260910%E7%BB%88%E7%89%88%E8%BD%A8%E8%BF%B9/2026_by_UTMB_NGW_20_K_0a349c89ec.gpx
kackar-by-utmb,82K,82,5600,,155.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1786796223/kackar/2026%20Courses/v9/V9_100_K_2026_AUG_15_dc06e53e5b.gpx
kackar-by-utmb,44K,44,3000,,115.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1786796222/kackar/2026%20Courses/v9/V9_50_K_2026_AUG_15_677036dbe8.gpx
kackar-by-utmb,20K,20,1400,,65.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1763991811/kackar/2026%20Courses/kackar_20k_2026_51a82295a7.gpx
kackar-by-utmb,4K,4,230,,25.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1782217157/kackar/2026%20Courses/ayder_4k_0cd1b10722.gpx
malaysia-ultra-trail-by-utmb,100K,100,,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1763517927/malaysia/Races/2026%20GPX/2026_MY_100_9c968577c6.gpx
malaysia-ultra-trail-by-utmb,50K,50,,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1740977416/malaysia/Races/MYKIDS_gpx_draft_2025_c58f54da86.gpx
malaysia-ultra-trail-by-utmb,20K,20,,,,,
1-amasra-cesm-i-cihan-kosusu,7K,7.0,,,1500.0,TRY,
14-uluslararasi-9-eylul-izmir-yari-maratonu,21K,21.0,,,750.0,TRY,
ayvalik-yari-maratonu,21K,21.0,,,2000.0,TRY,
ayvalik-yari-maratonu,10K,10.0,,,2000.0,TRY,
ayvalik-yari-maratonu,5K,5.0,,,1800.0,TRY,
summer-run-bozcaada,10K,10.0,,,1300.0,TRY,
summer-run-bozcaada,5K,5.0,,,1200.0,TRY,
grindstone-trail-running-festival,167.4K,167.4,6400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1720466404/grindstone/GPX%20FILES/2024/2024_Grindstone_Trail_Running_Festival_by_UTMB_100_mile_Course_8ad01d6221.gpx
grindstone-trail-running-festival,100K,100,3350,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1751337451/grindstone/GPX%20FILES/2025/2025_Grindstone_Trail_Running_Festival_by_UTMB_100k_Course_6ef83ab475.gpx
grindstone-trail-running-festival,50K,50,1550,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1751337450/grindstone/GPX%20FILES/2025/2025_Grindstone_Trail_Running_Festival_by_UTMB_50k_Course_042ae10d1b.gpx
grindstone-trail-running-festival,21K,21,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1751337450/grindstone/GPX%20FILES/2025/2025_Grindstone_Trail_Running_Festival_by_UTMB_21k_Course_b0e28947f3.gpx
paraty-brazil-by-utmb,101K,101.0,4850,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788977202/paraty/GPX/2026/Paraty2026_100k_v50926_ff4ff136f4.gpx
paraty-brazil-by-utmb,53K,53.0,3200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789087210/paraty/GPX/2026/UTMB_26_53k_atual_sem_tribo_indi_e5d0e096aa.gpx
paraty-brazil-by-utmb,34K,34.0,1100,,825.0,BRL,https://res.cloudinary.com/utmb-world/raw/upload/v1757992365/paraty/2024/gpx%20set%2024/V2/UTMB_25_35k_2025_3ac6203900.gpx
paraty-brazil-by-utmb,25K,25,750,,700.0,BRL,https://res.cloudinary.com/utmb-world/raw/upload/v1726228224/paraty/2024/gpx%20set%2024/V2/UTMB_24_25k_completo_agrofloresta_1_700f24c800.gpx
paraty-brazil-by-utmb,17K,17.0,550,,505.0,BRL,https://res.cloudinary.com/utmb-world/raw/upload/v1769802676/paraty/GPX/Paraty_17k_600_d2adcdde16.gpx
paraty-brazil-by-utmb,7K,7,50,,345.0,BRL,https://res.cloudinary.com/utmb-world/raw/upload/v1729477333/paraty/2025/GPX/v1/fun_7_1_7baac1030b.gpx
julian-alps-trail-run-by-utmb,122K,122.0,5855,,259.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1786965965/julianalps/GPX%20FILES%20JULY%202026/JAT_120_km_2026_nova_1_f09c3d22fb.gpx
julian-alps-trail-run-by-utmb,80K,80.0,3866,,199.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1785236252/julianalps/GPX%20FILES%20JULY%202026/JAT_80_km_2026_cee9f2bd1d.gpx
julian-alps-trail-run-by-utmb,55K,55.0,2828,,145.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1788339155/julianalps/GPX%20FILES%20JULY%202026/JAT_50_km_2026_september_7a1d4b1f00.gpx
julian-alps-trail-run-by-utmb,25K,25.0,1090,,94.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1785745472/julianalps/GPX%20FILES%20JULY%202026/new_JAT_25_km_2026_508871da5c.gpx
julian-alps-trail-run-by-utmb,17K,17.0,583,,75.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1785236252/julianalps/GPX%20FILES%20JULY%202026/JAT_15_km_2026_df43308e84.gpx
julian-alps-trail-run-by-utmb,11K,11.0,329,,69.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1788342876/julianalps/2026%20GPX%20FILES/SEPTEMBER%202026/JA_Tral_10_km_2026_5cf5530af4.gpx
11-ultimate-cunda,12K,12.0,,,,,
11-ultimate-cunda,7K,7.0,,,,,https://www.teamkronos.com/2024-7_km-ultimate_cunda.GPX
6-uluslararasi-kayseri-yari-maratonu,21K,21.0,,,1000.0,TRY,
6-uluslararasi-kayseri-yari-maratonu,10K,10.0,,,1000.0,TRY,
anadolu-sigorta-bir-adim-daha,10K,10,,,,,
anadolu-sigorta-bir-adim-daha,5K,5,,,,,
letape-turkiye-istanbul,Uzun Parkur,105,1583,,,,
letape-turkiye-istanbul,Kısa Parkur,52.4,836,,,,
nice-cote-d-azur-by-utmb,165K,165.0,8900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1767772423/nice/Races/GPX/100_M_par_Venanson_et_baisse_Combe_V1_8310759dbf.gpx
nice-cote-d-azur-by-utmb,109K,109.0,5400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1789048974/nice/Races/GPX/Nice_110k_5300_0909_efc9c683d1.gpx
nice-cote-d-azur-by-utmb,50K,50.0,2000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781614404/nice/Races/GPX/50_K_emetteur_avelant_VF_a2f3f24fba.gpx
nice-cote-d-azur-by-utmb,39K,39.0,1388,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779371914/nice/Races/GPX/39_K_levens_avec_tourrette_6a4201cc62.gpx
nice-cote-d-azur-by-utmb,23K,23.0,680,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1751628715/nice/Races/GPX/20_K_SJCF_Nice_par_sentier_Villefranche_23_05_2025_90de52fa14.gpx
ankara-botanik-backyard,6.7K,6.7,,,4000.0,TRY,
gokova-yari-maratonu,21K,21.0,,,55.0,EUR,
gokova-yari-maratonu,10K,10.0,,,48.0,EUR,
gokova-yari-maratonu,5K,5.0,,,40.0,EUR,
spartathlon,246K,246,,,,,
berlin-maratonu,42K,42.0,,,,,https://www.bmw-berlin-marathon.com/fileadmin/media/events/berlinmarathon/gpx/BMS25_Strecke_Skater.gpx
buyukada-yari-maratonu,21K,21.0,,,1800.0,TRY,https://buyukadayarimaratonu.com/gpx/buyukadayarimaratonu2024_21k.gpx
buyukada-yari-maratonu,10K,10.0,,,1800.0,TRY,https://buyukadayarimaratonu.com/gpx/buyukadayarimaratonu2024_10k.gpx
buyukada-yari-maratonu,5K,5.0,,,1700.0,TRY,https://buyukadayarimaratonu.com/gpx/buyukadayarimaratonu2024_5k.gpx
duzce-efteni-duatlonu,Yaş Grubu,26,,,1000.0,TRY,
duzce-efteni-duatlonu,Genç (16-19 Yaş),26,,,1000.0,TRY,
iskele-yari-maratonu,21K,21.0,,,1500.0,TRY,
iskele-yari-maratonu,10K,10.0,,,1250.0,TRY,
urla-da-biriz-sosyal-sorumluluk-kosusu,10K,10.0,,,,,
urla-da-biriz-sosyal-sorumluluk-kosusu,5K,5.0,,,,,
ekinoks-kosusu-antalya,10K,10.0,,,1750.0,TRY,
chihuahua-by-utmb,118K,118.0,5600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788888583/chihuahua/118k_Chihuahua_5600_0709_b91e38af23.gpx
chihuahua-by-utmb,93K,93.0,4700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788887490/chihuahua/93k_Chihuahua_4700_0809_219bd7bd61.gpx
chihuahua-by-utmb,58K,58.0,2500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788883936/chihuahua/58k_Chihuahua_2500_0809_ed5dda4ddf.gpx
chihuahua-by-utmb,39K,39.0,1700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788881216/chihuahua/39k_Chihuahua_1700_0809_ff8ef0fa1d.gpx
chihuahua-by-utmb,21K,21.0,700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788880854/chihuahua/21k_Chihuahua_700_2908_b72f026c7c.gpx
chihuahua-by-utmb,9K,9.0,200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788822775/chihuahua/9k_Chihuahua_200_2908_e733dc3656.gpx
transjeju-by-utmb,148K,148.0,5000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760423600/transjeju/2025_Trans_Jeju_150_K_1014_b63f3f65b9.gpx
transjeju-by-utmb,104K,104.0,4000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760371650/transjeju/Races/25_100_K_c04a03216a.gpx
transjeju-by-utmb,60K,60.0,1400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760371838/transjeju/Races/2025_70_1012_2732b2a1f4.gpx
transjeju-by-utmb,20K,20.0,508,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1757991035/transjeju/Races/2025_Trans_Jeju_by_UTMB_20_K_0916_44548e77b1.gpx
15-uluslararasi-afsin-elbistan-ultramaraton-sampiyonasi,100K,100.0,,,750.0,TRY,
beypazari-ultra-trail,52K,52.0,,,,,https://www.beypazariultra.org/gpx-dosyalari/KelebeklerVadisi52K-Beypazarı_Ultra_Trail.gpx
beypazari-ultra-trail,39K,39.0,,,,,https://www.beypazariultra.org/gpx-dosyalari/inozu39K-Beypazarı_Ultra_Trail.gpx
beypazari-ultra-trail,19K,19.0,,,,,https://www.beypazariultra.org/gpx-dosyalari/Lagania19K-Beypazarı_Ultra_Trail.gpx
beypazari-ultra-trail,8K,8.0,,,,,https://www.beypazariultra.org/gpx-dosyalari/Hanlaroonu8K-Beypazari_Ultra_Trail.gpx
dogus-holding-nigde-yari-maratonu,21K,21.0,,,600.0,TRY,https://www.nigdeyarimaratonu.com/tr/events/download/1
dogus-holding-nigde-yari-maratonu,10K,10.0,56,,400.0,TRY,https://www.nigdeyarimaratonu.com/tr/events/download/4
dogus-holding-nigde-yari-maratonu,5K,5.0,56,,200.0,TRY,https://www.nigdeyarimaratonu.com/tr/events/download/7
bodrum-yari-maratonu,21K,21.0,,,,,
bodrum-yari-maratonu,10K,10.0,,,,,
bodrum-yari-maratonu,5K,5.0,,,,,
eker-i-run-yol-kosusu,42K,42.0,,,2420.0,TRY,
eker-i-run-yol-kosusu,15K,15.0,,,1815.0,TRY,
eker-i-run-yol-kosusu,5K,5.0,,,1815.0,TRY,
istanbul-u-kosuyorum-avrupa-etabi-yenikapi,10K,10.0,24,,,,
sinop-egitim-vakfi-sinop-yari-maratonu,21K,21.0,,,1200.0,TRY,
sinop-egitim-vakfi-sinop-yari-maratonu,10K,10.0,,,1200.0,TRY,
sinop-egitim-vakfi-sinop-yari-maratonu,5K,5.0,,,1000.0,TRY,
hoka-kodiak-ultra-marathons-by-utmb,99K,99,3120,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1759504412/kodiak/2025/GPX%20Files/2025_Kodiak_Ultra_Marathons_by_UTMB_100k_Course_Only_V2_a457b90baf.gpx
hoka-kodiak-ultra-marathons-by-utmb,48.4K,48.4,1339,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1759505693/kodiak/2025/GPX%20Files/2025_Kodiak_Ultra_Marathons_by_UTMB_50k_Course_efe17b539d.gpx
hoka-kodiak-ultra-marathons-by-utmb,10.5K,10.5,280,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1759603513/kodiak/2025/GPX%20Files/2025_Kodiak_Ultra_Marathons_by_UTMB_10k_Course_3862dac95e.gpx
forest-trail,22K,22.0,,,3750.0,TRY,
kyzikos-ultra,65K,65,2084,,100.0,EUR,https://www.kyzikosultra.com/wp-content/uploads/2026/06/Kyzkos-Ultra-Maratonu-65K.gpx
kyzikos-ultra,35K,35,939,,80.0,EUR,https://www.kyzikosultra.com/wp-content/uploads/2026/06/Kyzkos-35K-Yarisi.gpx
kyzikos-ultra,20K,20,446,,60.0,EUR,https://www.kyzikosultra.com/wp-content/uploads/2026/04/Kyzkos-22K-Yarisi-.gpx
kyzikos-ultra,10K,10,38,,55.0,EUR,https://www.kyzikosultra.com/wp-content/uploads/2026/04/Kyzikos-Ultra-10K.gpx
kyzikos-ultra,Takım Yarışı 5K,5,,,50.0,EUR,
kyzikos-ultra,5K,5,,,50.0,EUR,https://www.kyzikosultra.com/wp-content/uploads/2026/04/Kyzkos-5K-Yarisi-.gpx
oludeniz-open-water,6K,6.0,,,,,
oludeniz-open-water,4K,4.0,,,,,
oludeniz-open-water,3K,3.0,,,,,
oludeniz-open-water,2K,2.0,,,,,
oludeniz-open-water,1K,1.0,,,,,
anadolu-yari-maratonu,21K,21.0,,,1750.0,TRY,
anadolu-yari-maratonu,10K,10.0,,,1500.0,TRY,
chicago-maratonu,42K,42.0,,,,,
cumhurbaskanligi-yari-maratonu,21K,21.0,,,750.0,TRY,
