race_slug,label,distance_km,elevation_gain_m,itra_points,price,currency,gpx_url
chianti-ultra-trail-by-utmb,10K,10.0,400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1772526039/chianti/Races/gpx%20files/CWR_10_K_2026_0c96df8a12.gpx
alanya-ultra-trail,90K,90.0,4500,,7150.0,TRY,https://alanyaultratrail.com/GPX/alanya-ut-2027-90.gpx
alanya-ultra-trail,70K Taurus Trail,70,3490,,5850.0,TRY,https://alanyaultratrail.com/GPX/tt-70k.gpx
alanya-ultra-trail,50K Keykubat Trail,50,2413,,4550.0,TRY,https://alanyaultratrail.com/GPX/kt-50k.gpx
alanya-ultra-trail,32K Cleopatra Trail,32,1516,,3900.0,TRY,https://alanyaultratrail.com/GPX/ct-32k.gpx
alanya-ultra-trail,14K Alaiye Trail,14,771,,3250.0,TRY,https://alanyaultratrail.com/GPX/at-14k.gpx
alanya-ultra-trail,5K Castle Run,6.2,,,1950.0,TRY,https://alanyaultratrail.com/GPX/cr-5k.gpx
efes-ultra-maratonu,Ephesus Ultra Trail 120K,120,,,105.0,EUR,http://www.efesultra.org/27-Km.gpx
efes-ultra-maratonu,Ephesus Medium Trail 61K,61,,,85.0,EUR,http://www.efesultra.org/61KM.....GPX
efes-ultra-maratonu,Ephesus Short Trail 42K,42,,,80.0,EUR,
efes-ultra-maratonu,Virgin Mary Trail 27K,27,,,70.0,EUR,
efes-ultra-maratonu,Artemis Trail 12K,12,,,65.0,EUR,
efes-ultra-maratonu,ST Jean Race 6K,6,,,55.0,EUR,https://www.efesultra.org/wp-admin/Ephesus-Ultra-6KM.gpx
ephesus-ultra-maratonu,61K,61.0,,,3390.0,TRY,http://www.efesultra.org/61KM.....GPX
ephesus-ultra-maratonu,42K,42.0,,,3090.0,TRY,
ephesus-ultra-maratonu,27K,27.0,,,2690.0,TRY,
ephesus-ultra-maratonu,12K,12.0,,,2190.0,TRY,
ephesus-ultra-maratonu,6K,6.0,,,1790.0,TRY,https://www.efesultra.org/wp-admin/Ephesus-Ultra-6KM.gpx
ephesus-ultra-maratonu,120,,,,4490.0,TRY,https://www.efesultra.org/wp-content/uploads/2026/04/Ephesus-120KM-2026-1.gpx
istria-100-by-utmb,168K,168.0,6800,,303.75,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1781524089/istria/.gpx/ISTRIA_168k_2027_85dcf7c2ad.gpx
istria-100-by-utmb,111K,111.0,4200,,258.75,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1781524088/istria/.gpx/ISTRIA_111k_2027_43ca9de8f1.gpx
istria-100-by-utmb,69.6K,69.6,2400,,157.5,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1781524084/istria/.gpx/ISTRIA_69k_2027_f18764744b.gpx
istria-100-by-utmb,42K,42.0,1000,,140.63,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1781524083/istria/.gpx/ISTRIA_42k_2027_86917b64ad.gpx
istria-100-by-utmb,21.5K,21.5,157,,90.0,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1781524082/istria/.gpx/ISTRIA_21k_2027_c07fc2ccdb.gpx
jujuy-los-andes-by-utmb,87.2K,87.2,5101,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685072/jujuy/Races/85_K_JUJUY_BY_UTMB_08c6701df8.gpx
jujuy-los-andes-by-utmb,50.3K,50.3,2754,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685063/jujuy/Races/50_K_JUJUY_BY_UTMB_64e07198af.gpx
jujuy-los-andes-by-utmb,34K,34.0,1826,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685061/jujuy/Races/33_K_JUJUY_BY_UTMB_9cc772f908.gpx
jujuy-los-andes-by-utmb,21.3K,21.3,884,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685057/jujuy/Races/21_K_JUJUY_BY_UTMB_7f995e0357.gpx
jujuy-los-andes-by-utmb,11.9K,11.9,723,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685053/jujuy/Races/12_K_JUJUY_BY_UTMB_e6fb4c77ac.gpx
jujuy-los-andes-by-utmb,4.5K,4.5,175,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787685048/jujuy/Races/5_K_JUJUY_BY_UTMB_f0c84fee2a.gpx
desert-rats-trail-running-festival-by-utmb,100K,100.0,2050,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1737677621/desertrats/GPX%20Files/2025/2025_Desert_Rats_Trail_Running_Festival_by_UTMB_100k_Course_4e624a1649.gpx
desert-rats-trail-running-festival-by-utmb,48K,48.0,1050,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1738281026/desertrats/GPX%20Files/2025/2025_Desert_Rats_Trail_Running_Festival_by_UTMB_50k_Course_8e95c5c5e7.gpx
desert-rats-trail-running-festival-by-utmb,21K,21.0,700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1737738182/desertrats/GPX%20Files/2025/2025_Desert_Rats_Trail_Running_Festival_by_UTMB_21k_Course_Only_563bdce3bd.gpx
desert-rats-trail-running-festival-by-utmb,9K,9.0,200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1737738197/desertrats/GPX%20Files/2025/2025_Desert_Rats_Trail_Running_Festival_by_UTMB_10k_Course_Only_fa0b1d3867.gpx
tenerife-bluetrail-by-utmb,110K,110.0,6250,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1740506141/tenerife/Races/TRACKS/Bluetrail_2025_Ultra_Cristianos_6c1ed2238c.gpx
tenerife-bluetrail-by-utmb,82K,82.0,3300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779958614/tenerife/2027_TBT_VILAFLOR_82km_3300m_15dda65079.gpx
tenerife-bluetrail-by-utmb,68K,68.0,3600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779958611/tenerife/2027_TBT_LA_ESPERANZA_68km_3600m_d784b08256.gpx
tenerife-bluetrail-by-utmb,47K,47.0,2600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1740509728/tenerife/Races/TRACKS/Bluetrail_2025_47km_2c035af117.gpx
tenerife-bluetrail-by-utmb,24K,24.0,1300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1740509883/tenerife/Races/TRACKS/Bluetrail_2025_24k_465413524b.gpx
tenerife-bluetrail-by-utmb,6.5K,6.5,850,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778238144/tenerife/Races/TRACKS/VERTICAL_2027_40e2515f8a.gpx
paris-maratonu,42K,42.0,,,,,
boston-maratonu,42K,42.0,,,,,
the-canyons-endurance-runs-by-utmb,161K,161.0,5550,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776808245/canyons/2026/GPX%20Files/2026_Canyons_Endurance_Runs_by_UTMB_100_mile_Course_Alternate_3b179d0806.gpx
the-canyons-endurance-runs-by-utmb,100K,100.0,3750,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776808248/canyons/2026/GPX%20Files/2026_Canyons_Endurance_Runs_by_UTMB_100k_Course_Alternate_877686b0ca.gpx
the-canyons-endurance-runs-by-utmb,50K,50.0,1700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1773624467/canyons/2026/GPX%20Files/2026_Canyons_Endurance_Runs_by_UTMB_50k_Course_6c7ab292d4.gpx
the-canyons-endurance-runs-by-utmb,25K,25.0,850,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1773624467/canyons/2026/GPX%20Files/2026_Canyons_Endurance_Runs_by_UTMB_25k_Course_70ca09a814.gpx
grand-raid-ventoux-by-utmb,125K,125.0,5700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775829137/ventoux/Races/2026/100_M_GRV_26_v6_62916c4aac.gpx
grand-raid-ventoux-by-utmb,87K,87.0,4200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775829134/ventoux/Races/2026/100_K_GRV_26_v6_02a026d758.gpx
grand-raid-ventoux-by-utmb,51K,51.0,2500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775829134/ventoux/Races/2026/50_K_GRV_26_v6_d9bc3f59ce.gpx
grand-raid-ventoux-by-utmb,26K,26.0,1100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775829134/ventoux/Races/2026/20_K_GRV_26_v6_b38f5b4346.gpx
londra-maratonu,42K,42.0,,,,,
oh-meu-deus-by-utmb,167K,167.0,8900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777644883/ohmeudeus/Races/OMD_167k_9100_0105_399023b95b.gpx
oh-meu-deus-by-utmb,94K,94.0,5300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775147874/ohmeudeus/Races/OMD_94k_5400_0204_d0c535622f.gpx
oh-meu-deus-by-utmb,52K,52.0,2900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1775147614/ohmeudeus/Races/OMD_52k_2800_0204_a6cb6c140f.gpx
oh-meu-deus-by-utmb,22K,22.0,1000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1774258215/ohmeudeus/Races/OMD_22k_1000_19_03_052015d7db.gpx
tahtali-run-to-sky,43K,43.0,,,,,https://media.dalamanhalfmarathon.com/media/uploads/1838_ozntah4rw_Phaselis-RUn.gpx
tahtali-run-to-sky,27K,27.0,,,,,https://media.dalamanhalfmarathon.com/media/uploads/27K-RuntoSky.gpx
tahtali-run-to-sky,11K,11.0,,,,,https://media.dalamanhalfmarathon.com/media/uploads/Viking%20Hotels%2012K.gpx
hoka-ultra-trail-australia-by-utmb,161.1K,161.1,7200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776329883/uta/Races/2026%20RACE%20ALIGNMENTS/uta_miller2026_cleaned_livetrail_958e6dd375.gpx
hoka-ultra-trail-australia-by-utmb,101K,101.0,4400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776334050/uta/Races/2026%20RACE%20ALIGNMENTS/uta_100k_cleaned_livetrail_f81c7a5085.gpx
hoka-ultra-trail-australia-by-utmb,51K,51.0,2400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776334307/uta/Races/2026%20RACE%20ALIGNMENTS/uta_50k_2026_cleaned_livetrail_6951f682ea.gpx
hoka-ultra-trail-australia-by-utmb,22K,22.0,1200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776334469/uta/Races/2026%20RACE%20ALIGNMENTS/uta_22_K_2026_cleaned_livetrail_18887fee5e.gpx
hoka-ultra-trail-australia-by-utmb,11.4K,11.4,731,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776334764/uta/Races/2026%20RACE%20ALIGNMENTS/uta_11_K_2026_cleaned_livetrail_079859a74e.gpx
hoka-ultra-trail-australia-by-utmb,1K,1.0,25,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777329289/uta/Races/2026%20RACE%20ALIGNMENTS%20v2/2026_UTA_by_UTMB_1km_for_Kids_RACE_ALIGNMENT_10092025_8d0fac8766.gpx
trail-alsace-by-utmb,158K,158.0,5100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778483103/alsacegrandest/GPX%202026/2026_tage_utdc_v17_113abf93d4.gpx
trail-alsace-by-utmb,108K,108.0,3900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778484702/alsacegrandest/GPX%202026/2026_tage_utdp_v8_b4e9e02420.gpx
trail-alsace-by-utmb,47K,47.0,1600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777041241/alsacegrandest/GPX%202026/2026_tage_tdc_v5_9bb7e62bdb.gpx
trail-alsace-by-utmb,29K,29.0,800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777041241/alsacegrandest/GPX%202026/2026_tage_tdp_v4_bed5e9165d.gpx
trail-alsace-by-utmb,18K,18.0,250,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777041241/alsacegrandest/GPX%202026/2026_tage_rdp_v2_c90992388c.gpx
trail-alsace-by-utmb,10.5K,10.5,400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1785257060/alsacegrandest/GPX%202026/trail_des_ecuyers_2027_1912ad4ad5.gpx
rothrock-by-utmb,53.3K,53.3,1550,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777794897/rothrock/2026/GPX%20Files/Rothrock_50_K_2026_v_LT_d98aa1dbd0.gpx
rothrock-by-utmb,26.9K,26.9,1188,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777794748/rothrock/2026/GPX%20Files/Rothrock_25_K_2026_v_LT_1f1406dc97.gpx
run-caretta-run,24K,24,,,,,https://runcarettarun.com/wp-content/uploads/2026/07/24K_RCR_FINAL-1.gpx
run-caretta-run,10K,10,,,,,https://runcarettarun.com/wp-content/uploads/2026/07/10K-yeni-1.gpx
run-caretta-run,5K,5,15,,,,https://runcarettarun.com/wp-content/uploads/2026/07/5K-yeni-parkur-1.gpx
mountain-ultra-trail-by-utmb,168K,168.0,8014,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777656020/mut/GPX%20files/2026%20GPX/MILER_2026_1_8db284754b.gpx
mountain-ultra-trail-by-utmb,100K,100.0,4717,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777636844/mut/GPX%20files/2026%20GPX/100_KM_2026_ffa7c0daa2.gpx
mountain-ultra-trail-by-utmb,58K,58.0,3005,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777636844/mut/GPX%20files/2026%20GPX/60_KM_2026_e4c3d54196.gpx
mountain-ultra-trail-by-utmb,43K,43.0,2312,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777636842/mut/GPX%20files/2026%20GPX/MARATHON_2026_b21c733bdf.gpx
mountain-ultra-trail-by-utmb,25K,25.0,1043,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777636840/mut/GPX%20files/2026%20GPX/CHALLENGE_2026_e100be67b3.gpx
mountain-ultra-trail-by-utmb,11.9K,11.9,312,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777636840/mut/GPX%20files/2026%20GPX/LITE_2026_e037180eb9.gpx
mozart-100-by-utmb,119K,119.0,6000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778920147/mozart/mozart%20100%202026/GPX%20files%202026/mozart100_2026_mozart100_NEW_20260516_d1a5f7ec90.gpx
mozart-100-by-utmb,84K,84.0,4800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783931886/mozart/mozart%20100%202026/GPX%20files%202026/mozart100_2027_Ultra_Schafberg_ohne_Illinger_1ab9c50943.gpx
mozart-100-by-utmb,44K,44.0,1600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778920146/mozart/mozart%20100%202026/GPX%20files%202026/mozart100_2026_Marathon_NEW_20260516_f6e6931863.gpx
mozart-100-by-utmb,28K,28.0,1100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778920145/mozart/mozart%20100%202026/GPX%20files%202026/mozart100_2026_Halfmarathon_NEW_20260516_07a8eb4c07.gpx
mozart-100-by-utmb,12K,12.0,200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1778920145/mozart/mozart%20100%202026/GPX%20files%202026/mozart100_2026_Laketrail_NEW_20260516_af67985840.gpx
trail-100-andorra-by-utmb,105K,105.0,6800,,315.1,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1780912062/andorra/Gpx/GPX%202026/105_K_2024_Parc_Central_BO_2914c10629.gpx
trail-100-andorra-by-utmb,79K,79.0,3900,,265.47,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1780912058/andorra/Gpx/GPX%202026/Trail_100_Andorra_80_K_62b2393950.gpx
trail-100-andorra-by-utmb,50K,50.0,3400,,188.13,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1780912057/andorra/Gpx/GPX%202026/50k_UTMB_Andorra_211305a8da.gpx
trail-100-andorra-by-utmb,24.9K,24.9,1350,,143.12,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1780912060/andorra/Gpx/GPX%202026/25k_2026_per_segudet_i_amb_Final_Bo_9273a6bbba.gpx
trail-100-andorra-by-utmb,10K,10.0,500,,71.56,EUR,https://res.cloudinary.com/utmb-world/raw/upload/v1780912051/andorra/Gpx/GPX%202026/Trail10_K_2026_1036d84143.gpx
zugspitz-ultra-trail-by-utmb,167K,167.0,8205,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776698004/zugspitz/Races/ZUT100/ZUT_100_2026_Start_Ga_Pa_5bcee57cdf.gpx
zugspitz-ultra-trail-by-utmb,107K,107.0,5280,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760105332/zugspitz/Races/Ultratrail/Ultratrail_ZUT_2025_3b6cbaa510.gpx
zugspitz-ultra-trail-by-utmb,86K,86.0,4295,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760107415/zugspitz/Races/Ehrwald%20Trail/Ehrwald_Trail_ZUT_2025_85a841b963.gpx
zugspitz-ultra-trail-by-utmb,68.5K,68.5,3100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760108381/zugspitz/Races/Leutasch%20Trail/Leutasch_Trail_ZUT_2025_620e36ae36.gpx
zugspitz-ultra-trail-by-utmb,44K,44.0,2110,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760108403/zugspitz/Races/Mittenwald%20Trail/Mittenwald_Trail_ZUT_2025_fa6c0d4010.gpx
zugspitz-ultra-trail-by-utmb,29K,29.0,1565,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760108337/zugspitz/Races/Garmisch-Partenkirchen%20Trail/Garmisch_Partenkirchen_Trail_ZUT_2025_1d59df01ee.gpx
zugspitz-ultra-trail-by-utmb,16K,16.0,760,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1776698038/zugspitz/Races/Grainau%20Trail/Grainau_Trail_ZUT_2026_new_Start_8579d96b05.gpx
trail-du-saint-jacques-by-utmb,140K,140.0,6000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781161290/saint-jacques/Pages/tsj26_ultra_24222650_1780232751_282_1_24c06d9c9d.gpx
trail-du-saint-jacques-by-utmb,88K,88.0,3600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781161290/saint-jacques/Pages/tsj26_tsj_22152133_1780235229_385_1_8687725e33.gpx
trail-du-saint-jacques-by-utmb,55K,55.0,2100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781161290/saint-jacques/Pages/tsj26_monistrail_22157283_1780235238_766_284f9bbd62.gpx
trail-du-saint-jacques-by-utmb,28K,28.0,750,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781161290/saint-jacques/Pages/tsj26_chibottes_rando_22805975_1780235248_442_1_cf5f61964d.gpx
trail-du-saint-jacques-by-utmb,12K,12.0,200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1781161289/saint-jacques/Pages/tsj26_douze_22157668_1780235242_448_28aa724caa.gpx
la-sportiva-lavaredo-ultra-trail-by-utmb,120K,120.0,5800,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782387012/lavaredo/files/2026/LUT_20_Madre_2026_6_2025_2065s_20pul_89a81f913b.gpx
la-sportiva-lavaredo-ultra-trail-by-utmb,80K,80.0,4600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1729968924/lavaredo/files/2025/Lavaredo80_K_2025_Val_Marzon_Cortina_8000eae9e2.gpx
la-sportiva-lavaredo-ultra-trail-by-utmb,50K,50.0,2600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1699116332/lavaredo/files/2024/Lavaredo50_K_6b9b57cbde.gpx
la-sportiva-lavaredo-ultra-trail-by-utmb,20K,20.0,1000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1719163172/lavaredo/files/2024/LUT_20k_variante_2024_de2a531f04.gpx
la-sportiva-lavaredo-ultra-trail-by-utmb,10K,10.0,300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1750610477/lavaredo/files/2025/Lavaredo_10_K_2025_m_22_6_25_67b83acbb3.gpx
torrencial-chile-by-utmb,101K,101.0,4100,,183.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1788471557/torrencial/Races/GPX%20Files/Torrencial%202027/Tor_101k_4100_1808_b492400379.gpx
torrencial-chile-by-utmb,65K,65.0,2600,,146.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1788471553/torrencial/Races/GPX%20Files/Torrencial%202027/Tor_65k_2600_1808_ce3b92e4ce.gpx
torrencial-chile-by-utmb,45K,45.0,1600,,101.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1788727431/torrencial/Races/GPX%20Files/Torrencial%202027/TVT_2027_44k_ff17870b3e.gpx
torrencial-chile-by-utmb,20K,20.0,800,,82.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1788726819/torrencial/Races/GPX%20Files/Torrencial%202027/TVT_2027_21k_e8a0b420e5.gpx
torrencial-chile-by-utmb,12K,12.0,400,,55.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1728675520/torrencial/Races/GPX%20Files/Torrencial%202025/12k_torrencial_9b64ac410c.gpx
torrencial-chile-by-utmb,6.5K,6.5,200,,35.0,USD,https://res.cloudinary.com/utmb-world/raw/upload/v1728675519/torrencial/Races/GPX%20Files/Torrencial%202025/6k_torrencial_e084d18def.gpx
hoka-val-d-aran-by-utmb,163K,163.0,10000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1770724536/valdaran/Races/GPX2026/OFICIALES%202026/VDA_2026_WEB_COLOMERS_ea9d9ddf9e.gpx
hoka-val-d-aran-by-utmb,110K,110.0,6400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1770724535/valdaran/Races/GPX2026/OFICIALES%202026/CDH_2026_COLOMERS_36aa55fb74.gpx
hoka-val-d-aran-by-utmb,75K,75.0,5100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782631034/valdaran/Races/GPX%202026%20DEFINTIVOS%20EVENTO/NORMALES/TDL%20track%20mapa%20Web/TDL_WEB_V1_2_f4cb01c4fd.gpx
hoka-val-d-aran-by-utmb,55K,55.0,3300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1770724536/valdaran/Races/GPX2026/OFICIALES%202026/PDA_2026_COLOMERS_ebd11f3b70.gpx
hoka-val-d-aran-by-utmb,32K,32.0,2100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1770728342/valdaran/Races/GPX2026/OFICIALES%202026/EXP_2026_516aae67cc.gpx
hoka-val-d-aran-by-utmb,18K,18.0,900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1756971164/valdaran/Races/GPX2026/SKY_2026_v0_65ebcf5dd8.gpx
hoka-val-d-aran-by-utmb,10K,10.0,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782645286/valdaran/Races/GPX%202026%20DEFINTIVOS%20EVENTO/NORMALES/VIELHA_10_K_2026_39f453409a.gpx
restonica-trail-by-utmb,110K,110.0,7200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777838033/restonica/Races/GPX/UTC_2026_645f729353.gpx
restonica-trail-by-utmb,69K,69.0,3950,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777753515/restonica/Races/GPX/RT_2026_fe9b8e0c48.gpx
restonica-trail-by-utmb,33K,33.0,2400,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777148318/restonica/Races/GPX/TT_2026_b491853609.gpx
restonica-trail-by-utmb,17K,17.0,650,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1777910969/restonica/Races/GPX/GT_2026_b891af5cc9.gpx
trail-verbier-st-bernard-by-utmb,140K,140.0,9300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788272759/verbier/Races/GPX%202027/2027xalpine_eaf9308d89.gpx
trail-verbier-st-bernard-by-utmb,77K,77.0,5300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1788272757/verbier/Races/GPX%202027/2027xtraversee_33107709f4.gpx
trail-verbier-st-bernard-by-utmb,47K,47.0,2900,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787903110/verbier/Races/GPX%202027/2027_V_Marathon_2a7bb1d8a2.gpx
trail-verbier-st-bernard-by-utmb,43K,43.0,3000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1787903097/verbier/Races/GPX%202027/2027marathon_X_Treme_0f12b87403.gpx
eiger-ultra-trail-by-utmb,261K,261.0,18000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783658442/eiger/Races/GPX%202026/eiger_ultra_trail_2026_e250_2026_23758642cc.gpx
eiger-ultra-trail-by-utmb,101K,101.0,6700,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782804276/eiger/Races/GPX%202026/E101_2026_5258b44cf2.gpx
eiger-ultra-trail-by-utmb,51K,51.0,3100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1783658437/eiger/Races/GPX%202026/E51_2026_5eba191d79.gpx
eiger-ultra-trail-by-utmb,35K,35.0,2500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1782804273/eiger/Races/GPX%202026/E35_2026_4be7247326.gpx
eiger-ultra-trail-by-utmb,16K,16.0,950,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1697561588/eiger/Races/GPX%202024/E16_2024_2a605ace7d.gpx
eiger-ultra-trail-by-utmb,15K,15.0,800,,,,
monte-rosa-walserwaeg-by-utmb,120K,120.0,8200,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784039088/mrww/100m_2026_7cfb064644.gpx
monte-rosa-walserwaeg-by-utmb,82K,82.0,6300,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1779697373/mrww/MRW_2026_100_K_22d59b22b6.gpx
monte-rosa-walserwaeg-by-utmb,43K,43.0,3100,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784039996/mrww/WWT_50k_by_UTMB_dbcbe317ee.gpx
monte-rosa-walserwaeg-by-utmb,35K,35.0,1800,,,,
monte-rosa-walserwaeg-by-utmb,15K,15.0,650,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1784039070/mrww/20k_2026_b8183922a0.gpx
monte-rosa-walserwaeg-by-utmb,9K,9.0,600,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1770978779/mrww/Junior_Walser_Trail_v3_67a087f33d.gpx
uludag-premium-ultra-trail-2027,70K,73,3661,,5900.0,TRY,https://uludagultra.com/Route2025/UPUT70K.gpx
uludag-premium-ultra-trail-2027,42K,44,2353,,4490.0,TRY,https://uludagultra.com/Route2025/UPM42K.gpx
uludag-premium-ultra-trail-2027,30K,30,1510,,4000.0,TRY,https://uludagultra.com/Route2025/UPE30K.gpx
uludag-premium-ultra-trail-2027,16K,16,500,,3250.0,TRY,https://uludagultra.com/Route2025/UP16K.gpx
uludag-premium-ultra-trail-2027,6K,6,210,,2000.0,TRY,https://uludagultra.com/Route2025/UP6K.gpx
speedgoat-mountain-races-by-utmb,50K,50.0,3450,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760548229/speedgoat/2026/GPX%20Files/2026_Speedgoat_Mountain_Races_by_UTMB_50k_Course_Only_fc9b371f42.gpx
speedgoat-mountain-races-by-utmb,31K,31.0,2000,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760548229/speedgoat/2026/GPX%20Files/2026_Speedgoat_Mountain_Races_by_UTMB_30k_Course_Only_b43c6797ff.gpx
speedgoat-mountain-races-by-utmb,10K,10.0,500,,,,https://res.cloudinary.com/utmb-world/raw/upload/v1760548004/speedgoat/2026/GPX%20Files/2026_Speedgoat_Mountain_Races_by_UTMB_10k_Course_Only_514d34c4df.gpx
